,datetime,post
0,2021-10-09 23:55:52,"SmartOptions® Unusual Activity Alert
(Delayed)

$AAPL $115 Calls
01/20/2023 Exp

Trade Volume: 297 Contracts

$1,01… https://t.co/HmYW7hVSJ7"
1,2021-10-09 23:51:08,"RT @AlertTrade: 🔴🔴  You are invited to test drive TradeIdeas PREMIUM features for 2 weeks!

NEXT Test Drive is October 11–22 
‍🙋‍♀️  via ⟶…"
2,2021-10-09 23:46:42,"RT @Alpha_Bronze: Confirmed #earnings for October 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WFC $WBA $INTC $GOOGL $F…"
3,2021-10-09 23:46:07,"RT @Sino_Market: US Antitrust staffers are advancing investigations of business practices at Apple Inc., Alphabet Inc.’s Google (which alre…"
4,2021-10-09 23:45:25,"RT @ripster47: #tradingtip #EMAClouds 
How to Short or see downtrend with EMA clouds
$AAPL $FB $NVDA

Also see $MRNA bounce on clouds on bu…"
5,2021-10-09 23:44:14,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
6,2021-10-09 23:41:33,"RT @WallStreetRy: Just for context, $SHIB at $0.01 would be a $3.95T market cap 

That’s larger than the GDP of Germany (4th largest GDP)…"
7,2021-10-09 23:37:52,"The world's largest and most secure cloud mining site
Get Bonus 30% ⬇️
https://t.co/htaQf9zreG

$BTG $SC $GRT $XVS… https://t.co/kVv3juUvr1"
8,2021-10-09 23:35:16,RT @BULLLX11: @NanoTechCrypto $vnth $tsla $aapl $msft what all these geniuses have in common? They had and have a vision of how different t…
9,2021-10-09 23:34:58,"RT @ripster47: #tradingtip #EMAClouds 
How to Short or see downtrend with EMA clouds
$AAPL $FB $NVDA

Also see $MRNA bounce on clouds on bu…"
10,2021-10-09 23:31:24,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
11,2021-10-09 23:27:16,"😲

$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li https://t.co/sWUGVgBWGZ"
12,2021-10-09 23:26:16,"Never force any trade, always wait for the set ups

$ccxi $f $aapl $bbd $bac $t $pltr $gm $afrm $baba $ccl $nio… https://t.co/WTBPbalOeQ"
13,2021-10-09 23:24:47,"How Tesla is Beating Everyone 

https://t.co/CTcufijFWd via @YouTube 

$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li"
14,2021-10-09 23:20:14,"Learn patterns, you will become a successful trader!

$ccxi $f $aapl $bbd $bac $t $pltr $gm $afrm $baba $ccl $nio… https://t.co/HcNDHzITu7"
15,2021-10-09 23:20:00,$mara $sklz $tsla $opti $mrin $coin $fubo $spce $fsr $msft $penn $sndl $aapl $amc $nakd $nio $wkhs $pltr $riot… https://t.co/tTi0BKeF3F
16,2021-10-09 23:19:13,"[ Last 24 Hours ]

Top Trending Stocks on #fintwit: 
1. $TSLA 🥇
2. $AFRM 🥈
3. $UPST 🥉
4. $BTC
5. $AAPL
6. $NFLX
7.… https://t.co/20q6MFtCwv"
17,2021-10-09 23:16:30,"🔥🔥 Automated Hourly $AAPL 🍎 Sentiment Report (📈 / 📉) 🔥🔥
1. Product Series Reviews:
#iPhones 74/111
#Mac #Macbook 37… https://t.co/tmegPTGZm2"
