,datetime,post
0,2021-10-01 23:52:18,"RT @BrianFeroldi: What's fascinating about growth investing is that you can wait YEARS to buy a proven winner and still do very well

$NFLX…"
1,2021-10-01 23:51:49,"RT @BrianFeroldi: 1996: $AMZN has no chance vs. Borders
2006: Borders has no chance vs. $AMZN

1997: $NFLX has no chance vs. Blockbuster
20…"
2,2021-10-01 23:48:02,"RT @XclusiveTrading: #XCLUSIVETRIGGERS 10/1 Recap🎯 Winrate: 100%

$AMZN Triggered Puts ✔️
$NIO Triggered Puts✔️
$NFLX Triggered Calls✔️
$NV…"
3,2021-10-01 23:47:44,"RT @XclusiveTrading: 📈#XCLUSIVETRIGGERS 10/1📉

$AMZN Calls 3337.9+ | Puts 3305.8
$NIO Calls 37.2+ | Puts 36
$NFLX Calls 605+ | Puts 592.7
$…"
4,2021-10-01 23:44:58,"$SPCE 
#WINNER

Another early long entry on this one from our levels. Price flew past our target. #satisfied 

$SPY… https://t.co/k7S3v3TFcX"
5,2021-10-01 23:44:16,"Follow us if you find our Alerts useful 

$SPY $NDX $IWM $QQQ $BTC $ETH $AAPL $TSLA $AMC $NFLX $UPST $PLTR $SNAP… https://t.co/a5vlUfdPi0"
6,2021-10-01 23:43:55,"Great place to learn trading and to get instant help join our community 

$SPY $NDX $IWM $QQQ $BTC $ETH $AAPL $TSLA… https://t.co/dZBxONPqxu"
7,2021-10-01 23:43:45,"My top trades of this year $NFLX $AMD and a few others, I knew were going to be huge. 

Why waste my mental capital… https://t.co/SSDKPOQmpC"
8,2021-10-01 23:41:43,"Here’s my diversified contrarian portfolio, as of today: 

$SHOP
$TSLA
$MELI
$CRM
$ZM
$AMZN
$TDOC
$TWLO
$FSLY
$NFLX… https://t.co/8U8QZQrI3N"
9,2021-10-01 23:40:18,"Alerted live in chat. Don't forget to take profits 

$NKLA $AZN $GSPC $IXIC $DJI $CYDY $DOGE $JE $BTC
$MNST $BLI… https://t.co/xieadiVeYx"
10,2021-10-01 23:39:57,"Live Day-Trading room, Free access this room and get live alerts. Check out now.. 

$BABA $FB $BRK.B $BRK.A $TSM $V… https://t.co/lCyEsTAwvS"
11,2021-10-01 23:34:31,"$OPTI $JADA $RNWF $NVAX $BA $PBI $KODK $KNDI $SQ $SPY $NFLX $M $DIS $IBIO $HPTY $NIO $NKLA $AAPL
Alerts before spik… https://t.co/HM4hNeCdek"
12,2021-10-01 23:34:04,"$SPX $SPY $AMZN $AAPL $AMD $FB $SHOP $BYND $NVDA $GOOGL $MSFT $TSLA $BA $CMG $INTC $NFLX $JPM $BAC $YM $QQQ
Was abl… https://t.co/T8pNyBXmFT"
13,2021-10-01 23:33:22,RT @thaddeus_hatter: $NFLX: the global phenomenon that is Squid Game is a remarkable testament the power of the Netflix platform. To take a…
14,2021-10-01 23:23:46,"$nflx first weekly close above 600 and on high volume, in a very choppy week for indicies as well, got to think thi… https://t.co/Nz3lb7jxRH"
15,2021-10-01 23:20:48,@Multiply100S @mokda9314 @StockMKTNewz @gurgavin Usually it’s a good sign for a hyper-growth company (you can check… https://t.co/Pbj5f2U3bO
16,2021-10-01 23:15:51,$NFLX trying to brain wash kids. #WOOF https://t.co/f64tEYBUeo
17,2021-10-01 23:13:34,"RT @TheMoonCarl: Returns over the last 10 Years:

Bitcoin $BTC: +994,608%
Tesla $TSLA: +15,200%
NVIDIA $NVDA: +6,053%
Netflix $NFLX: +2,337…"
18,2021-10-01 23:11:18,RT @rhemrajani9: $NFLX 📼📀📺 https://t.co/xPbataRtRh
19,2021-10-01 23:02:51,RT @PelotonHolder: You can literally play Red Light Green Light in $RBLX. Amazing how quickly the show Squid Game blew up from $NFLX. https…
20,2021-10-01 23:02:13,"[SCAN RESULTS - 1h]

Exchange: #FTX

Top 5 bullish trend (#PERP futures)
1: $MEDIA
2: $ENJ
3: $ATLAS
4: $FIL
5:… https://t.co/zUU1yzbD0W"
21,2021-10-01 22:56:05,RT @thaddeus_hatter: $NFLX: the global phenomenon that is Squid Game is a remarkable testament the power of the Netflix platform. To take a…
22,2021-10-01 22:55:42,"Traded $MSFT, $FB, $AMZN, $NFLX X 2, and $TSLA X 2. Overall small red week. 
Looking forward to next week!"
23,2021-10-01 22:53:06,RT @thaddeus_hatter: $NFLX: the global phenomenon that is Squid Game is a remarkable testament the power of the Netflix platform. To take a…
24,2021-10-01 22:44:15,"“Invest in what you consume” - Sha Osman

$LCID $AMZN $MSFT $HCMC $AAPL $SPY $TSLA $FB $GOOG $BABA $SQ $NFLX $NVDA… https://t.co/ofqxosAW9x"
25,2021-10-01 22:43:59,RT @thaddeus_hatter: $NFLX: the global phenomenon that is Squid Game is a remarkable testament the power of the Netflix platform. To take a…
26,2021-10-01 22:42:37,"RT @BrandonVanZee: 09/30/21 - Watch today's #MarketOutlook video from @MarketScholars
 
https://t.co/zFuxZpKmm4

Mentioned: $SPY $SPX $QQQ…"
27,2021-10-01 22:42:31,"Highest volume options in the last hour:
$IRNT, $PM, $PCG, $APO, $SKLZ, $CRWD, $CSTM, $SPIR, $MVST, $SWN, $BAC,… https://t.co/tXADsfXBfV"
28,2021-10-01 22:42:10,"Some great wins today so far:
$AFL
$CRSR 
$QCOM
$SPY 
🔥🔥🔥

$SPY $NDX $IWM $QQQ $BTC $ETH $AAPL $TSLA $AMC $PFE… https://t.co/3ECQyFkh2Q"
29,2021-10-01 22:41:51,"RT @TheMoonCarl: Returns over the last 10 Years:

Bitcoin $BTC: +994,608%
Tesla $TSLA: +15,200%
NVIDIA $NVDA: +6,053%
Netflix $NFLX: +2,337…"
30,2021-10-01 22:40:40,"The best place for Traders to Gain  

$SPY $AMZN $NVDA $BA $BABA $AMD $NFLX $FB $USO $DAL $UGAZ $DIS $QQQ $TSLA… https://t.co/QULoyU6a2J"
31,2021-10-01 22:39:00,"Portfolio Sep 1st

$aapl $tsla $amzn $googl $nvda $msft $cost $pypl $sq $amd $ma $nflx $roku $v $se $shop $etsy… https://t.co/JthYe7YIbr"
32,2021-10-01 22:38:49,"Best discord group over 80k members and even have their own app join here 

$ACN $FB $NFLX $DLTR $EA $SPY $SPX… https://t.co/I4Q5IK3WsJ"
33,2021-10-01 22:38:06,$TSLA $NIO $SPY $MDRR $FSLY $NOVN $AAPL $PT $ROKU $SOLO $WKHS $AMD $FB $NFLX $BABA $AKBA $AMZN $KXIN $CEI $ZM $PLUG… https://t.co/QN25xriWy5
34,2021-10-01 22:37:44,"✅Stocks 
✅Options 
✅Day trading 

$CLDR $NOK $ABEV $ZNGA $SAVE $MGM $ET $PBR $SNAP $XOM $LOW $MSFT $AMZN $RCL $AAPL… https://t.co/27ivm8n9If"
35,2021-10-01 22:37:17,$NIO $SPY $TSLA $FSLY $STAF $NFLX $ZM $WKHS $SPI $FB $PT $AAPL $BABA $PTON $KXIN $CEI $AMZN $MDRR $MTC $XXII $ROKU… https://t.co/eEkuVYLixw
36,2021-10-01 22:36:27,"1000% almost half a mile here. You in our discord? We've been on fire!! 

$AAPL $AMZN $FB $NFLX $QQQ $BIDU $BABA… https://t.co/OWQ99lvW7B"
37,2021-10-01 22:34:49,"Alerts given
Trading Chat on Discord!👇

JOIN for FREE ✅

💸
$SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX… https://t.co/dqWCdjTnwS"
38,2021-10-01 22:34:18,"Hi everyone, Make big profits with us 

$STNG $GOLD $RCL $AAL $NET $AAPL $NKLA $MGM $MCRB $WYNN $LCA $CGC $OMER… https://t.co/deMQeBk0yb"
39,2021-10-01 22:33:27,"Dow Jones Futures: Market Rally Attempt Begins, Netflix Leads 7 Stocks Showing Strength; Tesla Deliveries Loom $Spy… https://t.co/bN8AQTmY6H"
40,2021-10-01 22:33:20,"Free Stock trading discord:  

$GE $AAL $DIS $DAL $AAPL $MSFT $TSLA $SQ $NFLX $SPY $ROKU $SPCE $INO $UVXY $VXX $SPX https://t.co/wCoQLUGwzI"
41,2021-10-01 22:30:16,"Hmm, maybe that’s what that 1.88% stock price jump was about? Find out more about @Netflix on the @DaizyApp!… https://t.co/rGUChUAcZk"
42,2021-10-01 22:30:01,"$AAPL looking so strong. $150 by next Friday. 

#DOGE #BTC $TSLA $AMC $GME $DIS $NVDA $AMD $AMZN $GOOGL $AAPL $NFLX… https://t.co/NhM5nJ1ZBS"
43,2021-10-01 22:25:49,"@jj_shipley @john_lawful @thepupil11 @clubmaliboo @StockNovice @capy_capital @value_invest12 

Top Positions: 

- A… https://t.co/AD8vHaIcq7"
44,2021-10-01 22:22:55,RT @The_RockTrading: $NFLX Months of sideways finally popped and testing the top here. Amazing! https://t.co/KTxCRisgUY
45,2021-10-01 22:22:39,$NFLX October is full of pullbacks &amp; creates chaos and Fear. Use this time to accumulate Xceptional business for lo… https://t.co/c3YGuebUvD
46,2021-10-01 22:22:16,RT @The_RockTrading: $NFLX Months of sideways finally popped and testing the top here. Amazing! https://t.co/KTxCRisgUY
47,2021-10-01 22:21:34,RT @thaddeus_hatter: $NFLX: the global phenomenon that is Squid Game is a remarkable testament the power of the Netflix platform. To take a…
48,2021-10-01 22:20:58,RT @thaddeus_hatter: $NFLX: the global phenomenon that is Squid Game is a remarkable testament the power of the Netflix platform. To take a…
49,2021-10-01 22:09:47,RT @The_RockTrading: $NFLX Months of sideways finally popped and testing the top here. Amazing! https://t.co/KTxCRisgUY
50,2021-10-01 22:09:12,$NFLX Months of sideways finally popped and testing the top here. Amazing! https://t.co/KiWwXQeWFS https://t.co/KTxCRisgUY
51,2021-10-01 22:08:12,RT @awallenstein: New billboard out on Sunset Blvd. today from $NFLX https://t.co/spKkTHh2Il
52,2021-10-01 22:05:28,@The_RockTrading $NFLX
