,datetime,post,retweets,favorites
0,2021-11-09 23:59:32,"It's Aldi, City Farmer's Market &amp; Lidil For Me 

$aapl $amzn $abbv $brk $ba $bhc $crm $cmg $hlf $iep $msft $ms $gs… https://t.co/97kSI59TvW",1,0
1,2021-11-09 23:59:28,Bye Bye #naturalgas These stocks are going to #tank #bear $EQT $XLE $ET  #insideinformation || $BE $BTU $ADES $ATKR… https://t.co/B2JxfQaxGO,0,0
2,2021-11-09 23:58:26,"@chef_koosh @Mayhem4Markets Yeah, definitely, but there are advancers and decliners in the NASDAQ each day, and som… https://t.co/EX5vND4Ugx",0,1
3,2021-11-09 23:58:14,"RT @garyblack00: $RIVN increased this week’s IPO price to $72-$74 ($65B), from $57-$62 previously. Ironically, @elonmusk tweet poll on whet…",16,0
4,2021-11-09 23:58:05,"RT @Bitcoin: #Bitcoin is now more valuable than $TSLA, $FB and is the 6th largest asset in the world by market cap. Next up: $AMZN https://…",1428,0
5,2021-11-09 23:57:39,"RT @Crypt0_Nerd: $Tardigrades Finance $TRDG is breaking out. Get on board now or miss the pump!

$SHIB $TRX $BTC $BNB $ETH $XRP $ATH $SXP $…",7,0
6,2021-11-09 23:56:35,"It’s happening? Lol $tsla down - 139 and amazon up +87 today. $amzn super strong despite red market, expecting it t… https://t.co/TOo041NcXM",0,3
7,2021-11-09 23:55:41,"11/10 Focus List🧑🏼‍💻

$AAPL waiting for 150-152 range break
$AMZN looks ready to run
$ABNB downside gap to fill, re… https://t.co/CBnBa5eVny",0,0
8,2021-11-09 23:55:00,"✅ $AMZN: ""AWS"" mentioned during Coinbase Global, Inc. earnings event https://t.co/7YQpTJtKNS",0,0
9,2021-11-09 23:54:12,"RT @BahamaBen9: Current portfolio;

$AAPL $ABNB $AFRM $AMZN $CLPT $COIN $CPNG $CRM $CRWD $DDOG $DOCU $ETSY $ENPH $LSPD $MELI $MVRS $NOW $NV…",23,0
10,2021-11-09 23:53:53,@tonydimatteo are you getting $AMZN and $GOOGL excitement like us? With that badass beard and red shoes! $LTRY,1,3
11,2021-11-09 23:53:35,"$FCEL  going to go to new highs. We estimate, It will be $30 by December. $XLE $ET $WEC $BE $BTU $ADES $ATKR $LAB |… https://t.co/JLNqIbBZwD",0,0
12,2021-11-09 23:51:27,"RT @BrandonVanZee: 11/09/21 - Watch today's #MarketOutlook video from @MarketScholars

https://t.co/5BUxNsabtm

Mentioned: $SPY $SPX $QQQ $…",20,0
13,2021-11-09 23:51:22,$PYPL $AMZN $WMT $V  $MA all have massive upside $GOOGL https://t.co/hbWDzHz4mX,0,0
14,2021-11-09 23:51:18,$AMZN - up $129.00 from suggested buy entry - projected price target $3585.00 area. Congratulations! https://t.co/0ROR2eCwdM,0,2
15,2021-11-09 23:50:15,$AMZN looks ready to make a huge move 👀 #StockMarket,1,5
16,2021-11-09 23:50:00,Join us Wednesday morning for our Pre-market Analysis &amp; live stream via YouTube. 8-9:30am ET Breakdown of macro/mic… https://t.co/lHyM2LRBhQ,0,2
17,2021-11-09 23:49:45,"RT @JustinPulitzer: @kenr0966 On the margin it's incrementally positive for $AMZN, but it's basically a rounding error for them. If $AMZN i…",1,0
18,2021-11-09 23:49:42,@JustinPulitzer great $amzn. we find out tomorrow imo. we will see. appreciate your thoughts,0,0
19,2021-11-09 23:49:09,Stocks Fall On November 9 With More To Go $AMZN $TSLA $FXA $FXY $IEF $SPX $PYPL https://t.co/2pX8ioBlTJ,0,1
20,2021-11-09 23:48:16,"RT @Crypt0_Nerd: $Tardigrades Finance $TRDG is breaking out. Get on board now or miss the pump!

$SHIB $TRX $BTC $BNB $ETH $XRP $ATH $SXP $…",7,0
21,2021-11-09 23:47:31,"RT @Crypt0_Nerd: $Tardigrades Finance $TRDG is breaking out. Get on board now or miss the pump!

$SHIB $TRX $BTC $BNB $ETH $XRP $ATH $SXP $…",7,0
22,2021-11-09 23:47:24,"RT @Crypt0_Nerd: $Tardigrades Finance $TRDG is breaking out. Get on board now or miss the pump!

$SHIB $TRX $BTC $BNB $ETH $XRP $ATH $SXP $…",7,0
23,2021-11-09 23:46:52,$AMZN Shares Increase by 2.5%. The 12-Nov-21 Option Straddle is Implying a ±1.4% Move in the Next 3 days https://t.co/PSHPOVLO2G,0,0
24,2021-11-09 23:46:12,"[SCAN RESULTS - 15m]

Exchange: #FTX

Top 5 bullish trend (#PERP futures)
1: $BSV
2: $LRC
3: $XAUT
4: $BCH
5: $XLM… https://t.co/MRQkJc3WSm",0,0
25,2021-11-09 23:45:05,"$Tardigrades Finance $TRDG is breaking out. Get on board now or miss the pump!

$SHIB $TRX $BTC $BNB $ETH $XRP $ATH… https://t.co/ZWhtnHftdR",7,15
26,2021-11-09 23:44:58,"If You Wanna Ensure You Eat Right Eat At Home.
$aapl $amzn $abbv $brk $ba $bhc $crm $cmg $hlf $iep $msft $ms $gs… https://t.co/5fyuSenAB9",0,0
27,2021-11-09 23:44:17,"Oh ya, if anyone wants to follow me on @Stocktwits I talk shit frequently 

$SPY $BRPM $BRPMW $AMC $TSLA $AMZN… https://t.co/Z7sKNcVuvs",0,0
28,2021-11-09 23:42:21,"RT @MarketRebels: Most Mentioned Tickers on WSB (via @SwaggyStocks)

1. $TSLA
2. $PLTR 
3. $PYPL
4. $NVDA
5. $COIN
6. $DASH
7. $AMD
8. $RBL…",15,0
29,2021-11-09 23:42:20,"@MMike2016 @bevedoni @JeffBezos $AMZN +2.5% (+$87.26)

$TSLA 🔻11.99% (-$139.44)

Jeff won today",0,0
30,2021-11-09 23:42:05,RT @kpak82: $AMZN look extremely bearish (failed breakout reversal) $AAPL bearish engulfing daily.,3,0
31,2021-11-09 23:41:51,RT @kpak82: $AMZN (daily) https://t.co/A5o8e51x4Z,4,0
32,2021-11-09 23:39:17,"$RIVN $AMZN $F  
 
Is it morning yet?!? ▶ https://t.co/J7Qtq4eVB1",1,1
33,2021-11-09 23:39:10,Extended names like $AMD $NVDA $TSLA $AMZN will roll over before the indices $SPY $QQQ,0,2
34,2021-11-09 23:39:00,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +2,092,923%
Tesla $TSLA: +18,725%
NVIDIA $NVDA: +8,742%
Netflix $NFLX: +4,798%
D…",1495,0
35,2021-11-09 23:38:50,"RT @edwardnh: My new acronym: FANTA MAN
$FB, $AAPL, $NFLX, $TSLA, $GOOGL, $MSFT, $AMZN, $NVDA",36,0
36,2021-11-09 23:38:48,"RT @Krypto_Venom: STILL EARLY
$XYO Welcome to the Geospatial Metaverse
XYO best project around 🚀 shib for XYO 🚀 
MUST READ!!
$SPY $NDX $DIA…",14,0
37,2021-11-09 23:38:18,RT @My_Stock_Life: $AMZN paying!! https://t.co/PEghhd9Ygk,1,0
38,2021-11-09 23:37:38,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +2,092,923%
Tesla $TSLA: +18,725%
NVIDIA $NVDA: +8,742%
Netflix $NFLX: +4,798%
D…",1495,0
39,2021-11-09 23:36:17,$AMZN going to buss it open for the fam?! 🤑👀,0,2
40,2021-11-09 23:33:23,"RT @Bitcoin: #Bitcoin is now more valuable than $TSLA, $FB and is the 6th largest asset in the world by market cap. Next up: $AMZN https://…",1428,0
41,2021-11-09 23:32:37,"RT @Crypt0_Nerd: Here is why $TRDG is your best option.

$SHIB $TRX $BTC $BNB $ETH $XRP $ATH $SXP $SL $TP $CHZ $AVA $NMR $EGLD $WIN $ADA $D…",16,0
42,2021-11-09 23:32:07,RT @TrendSpider: $AMZN Round 2 🔔 And here we go! https://t.co/IagfogJn8S,23,0
43,2021-11-09 23:31:14,"[SCAN RESULTS - 15m]

Exchange: #FTX

Top 5 bullish trend (#PERP futures)
1: $XAUT
2: $XLM
3: $BSV
4: $LRC
5: $BRZ… https://t.co/TkCLgUCDFm",0,1
44,2021-11-09 23:30:00,"Today's Top Bearish Flow... 🐻

$TSLA $NVDA $AMZN $AMC $CVS $LCID

👉https://t.co/2s8fBPWEHe

#options #stockmarket… https://t.co/jN1cMdtyrm",0,4
45,2021-11-09 23:29:56,"@NYDOUGH_PRO what's next for $AMZN Rivian IPO.. any #catalyst for price rise? 
..this left unfinished bidness back at the post-ER lows",0,0
46,2021-11-09 23:29:51,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +2,092,923%
Tesla $TSLA: +18,725%
NVIDIA $NVDA: +8,742%
Netflix $NFLX: +4,798%
D…",1495,0
47,2021-11-09 23:28:00,"Crypto is KING:

Returns, The Last 10 Years....
Bitcoin $BTC: +2,092,923% 
Tesla $TSLA: +18,725%
Amazon $AMZN: +$1,… https://t.co/YR8dg5icaq",0,0
48,2021-11-09 23:24:26,RT @TrendSpider: $AMZN Round 2 🔔 And here we go! https://t.co/IagfogJn8S,23,0
49,2021-11-09 23:23:34,"RT @WILDERCRYPTOO: Here's how the largest stocks performed this past week🤔

Microsoft $MSFT +1.3%
Apple $AAPL +1%
Google $GOOGL +0.5%
Amazo…",845,0
50,2021-11-09 23:22:01,"✅ $AMZN: ""Amazon"" mentioned during Unity Software Inc. earnings event https://t.co/iGllwSauqO",0,0
51,2021-11-09 23:22:00,"✅ $AMZN: ""Amazon"" mentioned during Banco Do Brasil SA earnings event https://t.co/0vtPwZnxsT",0,0
52,2021-11-09 23:22:00,"Want 50% off the Month for Our Live Newswire? Sign up here! https://t.co/8tKJXgWkEc

$SPY $VRPX $AAPL $AMZN $NFLX… https://t.co/bi1RbTK7fQ",0,0
53,2021-11-09 23:21:06,@narmacnetworth so what Im hearing is we selling $amzn stock on Monday,0,0
54,2021-11-09 23:18:37,"@Sg423Sg In short, it affects growth companies the most, whose future profits are priced in, but will be affected b… https://t.co/QTr5bhoiKE",0,1
55,2021-11-09 23:18:20,"RT @SpacGuru: $RIVN / @Rivian #IPO tomorrow. 
What other stocks will move besides the 2 below?
$F / @Ford &amp; $AMZN / @amazon 
Post your symp…",14,0
56,2021-11-09 23:17:10,Neural Network Forex trading model: https://t.co/98hSR0GJZi $SGY $REN $SPY $VIX $TSLA $AMZN,0,0
57,2021-11-09 23:16:36,"RT @OracleNYSE: $LTRY CEO retweeting that company is partnering with $GOOGL, as well as $AMZN",8,0
58,2021-11-09 23:16:30,"Some more nice trades for your feed today :) what was your best trade today?

#daytrading #optionstrading #finance… https://t.co/DzP7jDS1SS",0,1
59,2021-11-09 23:15:51,@FeiCai9 Yeah; other tech names like $AAPL and $ADBE actually managed small gains. $AMZN did very well today. Tech… https://t.co/OagRD8f39o,0,1
60,2021-11-09 23:14:49,"Tomorrow potential option swings in eyeing. 

$AMZN C =&gt; $3770 
$COIN  P $340 if it bounces back. https://t.co/FWh3bzFHJh",0,2
61,2021-11-09 23:14:30,"RT @BrandonVanZee: 11/09/21 - Watch today's #MarketOutlook video from @MarketScholars

https://t.co/5BUxNsabtm

Mentioned: $SPY $SPX $QQQ $…",20,0
62,2021-11-09 23:13:51,"RT @shall1432: $SHIB $AMC
Could Amazon be next?

$AMZN

https://t.co/Akv3NSVDmp",182,0
63,2021-11-09 23:13:30,$AMZN paying!! https://t.co/PEghhd9Ygk,1,4
64,2021-11-09 23:13:16,"$AMZN backed #nykaa rival | Good Glamm, the parent of brands like MyGlamm, BabyChakra, PopXo and Scoopwhoop, will b… https://t.co/rfWxXd6KRo",0,0
65,2021-11-09 23:12:33,"11/09/21 - Watch today's #MarketOutlook video from @MarketScholars

https://t.co/5BUxNsabtm

Mentioned: $SPY $SPX… https://t.co/bkYk2CEt6g",20,102
66,2021-11-09 23:12:24,I can't wait to buy my chicken chorizo sausage from $AMZN Wholefoods using $PYPL,0,0
67,2021-11-09 23:12:10,"RT @stocktalkweekly: @ShinobiSignals M&amp;A, big news, or maybe… $AMZN partnership ?!",1,0
68,2021-11-09 23:11:06,$PYPL PayPal's 25% growth is 'pretty impressive': Wedbush Securities' Moshe Katri  #venmo $AMZN #amazon https://t.co/VH0Gsup6kq,0,0
69,2021-11-09 23:11:04,"@ShinobiSignals M&amp;A, big news, or maybe… $AMZN partnership ?!",1,21
70,2021-11-09 23:10:43,Stocks Fall On November 9 With More To Go https://t.co/16qocsbPJR $spy $amzn $pypl $tsla $audjpy #stocks #StockMarket #markets #trading,1,4
71,2021-11-09 23:10:04,"RT @IGSquawk: FANG+ Constituents:

$AAPL 150.24 -0.16%
$AMZN 3494 +0.1%
$BABA 160.9 -0.8%
$BIDU 161.9 -0.25%
$FB 339.42 +0.26%
$GOOG 2990.8…",4,0
72,2021-11-09 23:09:22,"RT @Marlin_Capital: Tech stocks have seen their largest inflows since March ‘21. 

$QQQ $XLK $SPY $FB $AMZN $AAPL $NFLX $GOOGL https://t.co…",9,0
73,2021-11-09 23:07:53,"RT @Crypt0_Nerd: Here is why $TRDG is your best option.

$SHIB $TRX $BTC $BNB $ETH $XRP $ATH $SXP $SL $TP $CHZ $AVA $NMR $EGLD $WIN $ADA $D…",16,0
74,2021-11-09 23:07:51,"RT @ProblemSniper: $AMZN is doing that thing $TSLA did a few weeks ago, strong watch rest of the week. Premiums are also showing a big 150…",27,0
75,2021-11-09 23:06:21,"$XRP in tandem to ETH within 18 months  SEC can no longer hold this back , just like it couldn’t with $TSLA  and $AMZN 📢",0,0
76,2021-11-09 23:05:50,"RT @TrySmallBiz: SHOP SMALL BIZ! Holidays are coming up and while $AMZN will get at least 42% of all retail transactions, I strongly encour…",16,0
77,2021-11-09 23:03:46,"$AMD 🌲cutting AMD Timber down to size looks imminent during a “corrective phase” AMD 8/4 RSI 87.0
&amp; 11/8 RSI 87 👀 H… https://t.co/QuGEthZJEh",0,0
78,2021-11-09 23:03:15,"RT @dissectmarkets: $AMZN owns 20% of Rivian, while $F owns 12% of Rivian.

In essence, these two companies will benefit big time from the…",2,0
79,2021-11-09 23:03:09,@RonaldEvers True. $DASH also invested in Flink. $TWKY big enough to get anti-trust review in Germany now. I don't… https://t.co/vk8ZqYGUnq,0,0
80,2021-11-09 23:02:14,@spacanpanman Or a partnership announcement? Maybe finalizing negotiations with $AMZN for Kuiper and wanting to include in the report?,0,20
81,2021-11-09 23:00:31,@jasondebolt I think there’s a reason why $AMZN is up today #Rivian,0,1
82,2021-11-09 23:00:09,"Top Trending Stocks on #fintwit: 
1. $METX 🥇
2. $TSLA 🥈
3. $DASH 🥉
4. $RBLX
5. $DOCS
6. $UPST
7. $COIN
8. $U
9.… https://t.co/0lDpSYxwoX",0,5
83,2021-11-09 23:00:03,"【GAFAM】
📱 $GOOG 2984.97 (-0.07%)
🛒 $AMZN 3576.23 (+2.50%)
📘 $FB 335.37 (-0.96%)
🍎 $AAPL 150.81 (+0.25%)
🖥 $MSFT 335… https://t.co/yBH3437AbO",0,0
84,2021-11-09 22:59:47,"TSLA Tumble Reminds us the Risk of ""Buying the Highs"" and Reward of Patience $AMZN $NVDA $TSLA $IWM $NDX $SPX $PYPL https://t.co/qz7kQ9xN5X",0,1
85,2021-11-09 22:59:25,"RT @MarketRebels: Most Mentioned Tickers on WSB (via @SwaggyStocks)

1. $TSLA
2. $PLTR 
3. $PYPL
4. $NVDA
5. $COIN
6. $DASH
7. $AMD
8. $RBL…",15,0
86,2021-11-09 22:59:15,Sweet Moses mama Scalpert been busy @JimScalpert $AMZN https://t.co/d7C1Rd2s8C,0,4
87,2021-11-09 22:58:43,"$TSLA Nag WTF Candle thanks to the Elon selling 10% of his stock tweet HAHAHAHA

I still think $TSLA is good up unt… https://t.co/ZjLp6DyKt1",0,1
88,2021-11-09 22:58:06,$RIVN $AMZN $NKLA NEW ARTICLE : Rivian IPO: Why Jim Cramer Isn&amp;#8217;t Ready to Chase RIVN Stock… https://t.co/69v0a49XZt,0,0
89,2021-11-09 22:58:00,"RT @Krypto_Venom: STILL EARLY
$XYO Welcome to the Geospatial Metaverse
XYO best project around 🚀 shib for XYO 🚀 
MUST READ!!
$SPY $NDX $DIA…",14,0
90,2021-11-09 22:57:12,RT @Tap07333187: @EnvyV07 @Tradytics Started following @Tradytics today &amp; the divergence on $AMZN was spot on. 👍,1,0
91,2021-11-09 22:56:16,@DefaultTrading I’m with it. Holding $AMZN calls. $4664 held as support today. So $3664-$3700 range is still intact.,0,0
92,2021-11-09 22:54:51,"RT @MarketRebels: Most Mentioned Tickers on WSB (via @SwaggyStocks)

1. $TSLA
2. $PLTR 
3. $PYPL
4. $NVDA
5. $COIN
6. $DASH
7. $AMD
8. $RBL…",15,0
93,2021-11-09 22:54:47,"Why are billionaires lecturing us on climate change.THEY FLY THEIR JETFUEL PRIVATE JETS, LIVE IN INCREDIBLE BIG &amp;MU… https://t.co/0uWXtfssv8",1,3
