,datetime,post,retweets,favorites
0,2021-11-10 23:57:51,"The next $gme and $amc $BBIG and $SPRT is here. Dont miss it this time!      
                                  
Cl… https://t.co/EbvSZqZEha",0,0
1,2021-11-10 23:56:45,"RT @GafamBot: 【GAFAM】
📱 $GOOG 2932.52 (-1.76%)
🛒 $AMZN 3482.05 (-2.63%)
📘 $FB 327.64 (-2.30%)
🍎 $AAPL 147.92 (-1.92%)
🖥 $MSFT 330.80 (-1.53…",1,0
2,2021-11-10 23:55:22,@TicTocTick $fb looks cheap,0,1
3,2021-11-10 23:55:07,"RT @BullishAngel: @FromValue MegaPurse, or HEAVY BAGS.

The Metaverse is the future.  From desktop internet to mobile phones to Metaverse -…",2,0
4,2021-11-10 23:55:01,"✅ $FB: ""Facebook"" mentioned during Shift4 Payments, Inc. ""Shift4 Payments Inc Investor Field Day"" event https://t.co/mDRF3zv0uP",0,0
5,2021-11-10 23:53:15,RT @StockMKTNewz: Microsoft $MSFT announced today its working with Facebook $FB to integrate Microsoft Teams into the Workplace by Meta pla…,46,0
6,2021-11-10 23:53:12,"Daily recap:

$ROKU 270P $2.08 -&gt; $4.37
$TTD 95C $1.40 -&gt; $1.68

Stayed green on a super volatile day! 🤑

$SPY $QQQ… https://t.co/W0eImTn0vM",0,0
7,2021-11-10 23:50:38,#biden spending bill is never paid-for. it is tax ripping ppl  off to spend.@Sen_JoeManchin @SenatorSinema pls b st… https://t.co/etXNs2K1nH,0,0
8,2021-11-10 23:50:15,...here's her saying that the #nyfed SHOULD B THE ENTITY that tells the world what $aapl or $amzn or $fb or $tsla o… https://t.co/cetvXF9T3S,0,0
9,2021-11-10 23:48:19,"@BahamaBen9 I agree, it does feel that way. But digging deeper, $FB leveraged it’s massive user base to sell very h… https://t.co/5Efk9oQ2VT",0,1
10,2021-11-10 23:47:00,$FB heads back near the 200-DMA. Reverse H&amp;S look on daily. https://t.co/F4QzRtqJLp,0,0
11,2021-11-10 23:44:26,RT @solaris23290390: https://t.co/XdOWCUrHHZ  @Sen_JoeManchin pls help #US fight against and suspend the irresponsible spending spree of #l…,1,0
12,2021-11-10 23:44:12,"RT @InvestorWisdom: $KIND/Nextdoor vs $FB

Wow, compare these ratings. I know many peeps that have gotten frustrated with FAcebook and stop…",2,0
13,2021-11-10 23:43:42,"@TLPrivate_ Not bad, not stressful, was prepared. Sold TQQQ +21% since FTD. Reduced $NVDA to 13% (was 20%, scaled t… https://t.co/lmYHCxEftf",1,7
14,2021-11-10 23:43:10,https://t.co/XdOWCUrHHZ  @Sen_JoeManchin pls help #US fight against and suspend the irresponsible spending spree of… https://t.co/1w4OHzrsg1,1,0
15,2021-11-10 23:43:07,"@HonestInvesting Yup for me (running a business) - $TWLO, $GOOG, $FB (or whatever they are now!)

Never had a great… https://t.co/tbYbWkKHCy",0,1
16,2021-11-10 23:41:44,"RT @notjeffrichards: Facebook has a patent for a real-time online ad auction system that turns ""organic objects"" within a virtual world int…",47,0
17,2021-11-10 23:38:11,"$FB got stopped out of my 2-2 up on the week. I kept my stops even. Super small loss.
 
#theStrat shows you how to… https://t.co/8j0tF5OdRV",0,15
18,2021-11-10 23:36:16,"RT @notjeffrichards: Facebook has a patent for a real-time online ad auction system that turns ""organic objects"" within a virtual world int…",47,0
19,2021-11-10 23:35:51,RT @StockMKTNewz: Microsoft $MSFT announced today its working with Facebook $FB to integrate Microsoft Teams into the Workplace by Meta pla…,46,0
20,2021-11-10 23:33:42,"RT @KeanuTrades: Running tally of profits from MEMBERS ONLY in the room! Tomorrow is day 9 of the room. 🤯 

MARCH TO A MILLION WITH IS! Who…",1,0
21,2021-11-10 23:32:29,"Running tally of profits from MEMBERS ONLY in the room! Tomorrow is day 9 of the room. 🤯 

MARCH TO A MILLION WITH… https://t.co/BM4cnNuqzD",1,4
22,2021-11-10 23:32:17,$msft and $FB buy the stocks. Thank me later,0,0
23,2021-11-10 23:30:51,"RT @notjeffrichards: Facebook has a patent for a real-time online ad auction system that turns ""organic objects"" within a virtual world int…",47,0
24,2021-11-10 23:30:41,RT @ValueInvestorAc: Is Meta Platforms (Facebook) $FB a Buy or Sell ???,1,0
25,2021-11-10 23:30:11,"RT @notjeffrichards: Facebook has a patent for a real-time online ad auction system that turns ""organic objects"" within a virtual world int…",47,0
26,2021-11-10 23:29:15,"RT @MsHannahMurphy: Fascinating glimpse into how advertising might work in Facebook/Meta's metaverse

If I'm reading correctly, marketers w…",8,0
27,2021-11-10 23:28:08,"RT @TradeForOpp: Altogether now, everyone say “thank you Alex!”

Always draw your broadening formations $FB https://t.co/vO9pWFviM6",1,0
28,2021-11-10 23:27:48,"RT @AdamSliverTrade: 11/11 Watchlist Flow 🌊

$FB - 330c and even 350c got hit hard. 🎯

$NVDA - Tons of volume, I like the 305c or 310c

$CH…",16,0
29,2021-11-10 23:26:41,"RT @Krypto_Venom: STILL EARLY
$XYO Welcome to the Geospatial Metaverse
XYO best project around 🚀 shib for XYO 🚀 
MUST READ!!
$SPY $NDX $DIA…",8,0
30,2021-11-10 23:26:23,$OCGN $CEI $TSLA $FAMI $FB $AAPL $RIDE $AEZS $SAVA $ROKU $PHIL $WDLF $NSAV $EEGI $KYNC $HPIL $AAPT $CEI $MMAT $AMC… https://t.co/f66Tu3uojF,0,2
31,2021-11-10 23:25:26,$XRA.C $ZADDF will be able to capitalize on Meta (aka Facebook) by using their VR/AR skillset to create VR/AR solut… https://t.co/2E4WWaHnTe,0,8
32,2021-11-10 23:24:15,"RT @notjeffrichards: Facebook has a patent for a real-time online ad auction system that turns ""organic objects"" within a virtual world int…",47,0
33,2021-11-10 23:23:00,"Want 50% off the Month for Our Live Newswire? Sign up here! https://t.co/8tKJXgWkEc

$SPY $VRPX $AAPL $AMZN $NFLX… https://t.co/PZghDtyorK",0,1
34,2021-11-10 23:22:50,@TSLAFanMtl Good for you. Holding $FB didn’t feel entirely ethical for me.,0,1
35,2021-11-10 23:19:30,"RT @MsHannahMurphy: Fascinating glimpse into how advertising might work in Facebook/Meta's metaverse

If I'm reading correctly, marketers w…",8,0
36,2021-11-10 23:17:27,"RT @AdamSliverTrade: 11/11 Watchlist Flow 🌊

$FB - 330c and even 350c got hit hard. 🎯

$NVDA - Tons of volume, I like the 305c or 310c

$CH…",16,0
37,2021-11-10 23:17:20,"RT @notjeffrichards: Facebook has a patent for a real-time online ad auction system that turns ""organic objects"" within a virtual world int…",47,0
38,2021-11-10 23:17:00,"RT @AdamSliverTrade: 11/11 Watchlist Flow 🌊

$FB - 330c and even 350c got hit hard. 🎯

$NVDA - Tons of volume, I like the 305c or 310c

$CH…",16,0
39,2021-11-10 23:16:25,"11/11 Watchlist Flow 🌊

$FB - 330c and even 350c got hit hard. 🎯

$NVDA - Tons of volume, I like the 305c or 310c… https://t.co/oZZJZB8oZF",16,223
40,2021-11-10 23:16:17,$FB back for the  $345,0,0
41,2021-11-10 23:15:51,"RT @MsHannahMurphy: Fascinating glimpse into how advertising might work in Facebook/Meta's metaverse

If I'm reading correctly, marketers w…",8,0
42,2021-11-10 23:13:31,"$DKNG 
Disney call: Content surge to help after 2022 Disney+ slowdown; Pursuing sports betting 'aggressively'… https://t.co/U5urVIyPpy",0,1
43,2021-11-10 23:10:13,‘Big or Bigger’ Than Crypto Trading: Coinbase Bets Large on NFTs $EBAY $FB $COIN https://t.co/n1v5ZFgHYj,0,1
44,2021-11-10 23:09:54,"I know the IPO/SPAC markets are incredibly frothy right now. 

But let’s not forget $FB $MVRS once bought a company… https://t.co/zf0KpfLyQM",0,1
45,2021-11-10 23:09:49,"RT @MsHannahMurphy: Fascinating glimpse into how advertising might work in Facebook/Meta's metaverse

If I'm reading correctly, marketers w…",8,0
