,datetime,post,retweets,favorites
0,2021-10-09 23:51:48,"Got some money coming in. How should I use it? 

Current Portfolio:
$GOOG $CRWD $SQ $AMD $NET $APPS $NIO $AFRM… https://t.co/KhDstuW6Jj",0,0
1,2021-10-09 23:41:33,"RT @WallStreetRy: Just for context, $SHIB at $0.01 would be a $3.95T market cap 

That’s larger than the GDP of Germany (4th largest GDP)…",14,0
2,2021-10-09 23:27:16,"😲

$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li https://t.co/sWUGVgBWGZ",0,0
3,2021-10-09 23:24:47,"How Tesla is Beating Everyone 

https://t.co/CTcufijFWd via @YouTube 

$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li",0,0
4,2021-10-09 23:15:57,RT @DAG_Investments: Most relevant to our holdings $AMZN $GOOG (and I think people consider #FAANG to include others like $MSFT $NVDA). Per…,1,0
5,2021-10-09 23:00:04,"【GAFAM】
📱 $GOOG 2801.12 (+0.63%)
🛒 $AMZN 3288.62 (-0.42%)
📘 $FB 330.05 (+0.25%)
🍎 $AAPL 142.90 (-0.27%)
🖥 $MSFT 294… https://t.co/oSO1TCTEzx",0,1
6,2021-10-09 22:56:22,"$GOOG Xceptional business that is being punished. Looking at the fundamentals, disruptive innovations and future gr… https://t.co/rQjNyzMiaN",0,0
7,2021-10-09 22:50:59,"😂...😂...🤣😂

$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li https://t.co/21jDZkrzU3",0,0
8,2021-10-09 22:48:50,$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li https://t.co/cRtASVS7st,0,0
9,2021-10-09 22:38:29,Most relevant to our holdings $AMZN $GOOG (and I think people consider #FAANG to include others like $MSFT $NVDA).… https://t.co/Ek6Y3ay47t,1,1
10,2021-10-09 22:18:38,"Here's a sneak peek at one of next week's trade ideas on $ROKU!

Join us at https://t.co/iMVJEvfW9J and ask about y… https://t.co/SkUzLRnD5O",0,2
11,2021-10-09 22:06:40,"@patrick_oshag $GOOG: 
1/ they have more than $130B in cash, and they have a product with so much potential:… https://t.co/yQgDSui0QY",0,12
12,2021-10-09 22:02:37,Gigafactory Berlin-Brandenburg County Fair https://t.co/2HITuzu5eR via @YouTube $tsla #tesla $goog $amzn $aapl… https://t.co/1la4sSO2ON,0,0
13,2021-10-09 21:11:03,$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li https://t.co/f33Z4B2oCo,1,2
14,2021-10-09 20:58:25,"RT @WallStreetRy: Just for context, $SHIB at $0.01 would be a $3.95T market cap 

That’s larger than the GDP of Germany (4th largest GDP)…",14,0
15,2021-10-09 20:56:10,"Just for context, $SHIB at $0.01 would be a $3.95T market cap 

That’s larger than the GDP of Germany (4th largest… https://t.co/HKKZDBYqbI",14,79
16,2021-10-09 20:51:25,$GOOG $GOOGL Google cracks down on climate change denial by targeting ads https://t.co/PMT0smJuI6,0,0
17,2021-10-09 20:34:50,@Boholaiga $GOOG with no doubts!!,0,0
18,2021-10-09 20:23:00,"RT @TickerTimeNews: The #metaverse is where the internet goes next.

#Investing in these companies is like investing in companies like #Ama…",1,0
19,2021-10-09 20:21:05,@LiviamCapital Where is $GOOG??,0,0
20,2021-10-09 20:17:01,"$GOOG - Daily

GOOG looking good here
almost every pullback has been bought.. 

#TSLA #Trading #Stocks #Markets… https://t.co/cx1nQ8rgP0",0,0
21,2021-10-09 20:03:00,"The #metaverse is where the internet goes next.

#Investing in these companies is like investing in companies like… https://t.co/ri7z0pMOTi",1,0
22,2021-10-09 19:56:51,"$PLTR Venture With ""Top"" US Firm Readied For Release 
https://t.co/Mv3xmUrTi2

$WYNN $AEGY $RAS $DE $GOOG $CLW $HTZ $VRED $VAPE $TTS",0,0
23,2021-10-09 19:34:13,"[ Last 2 Hours ]

Top Trending Stocks on #fintwit: 
1. $TSLA 🥇
2. $BIIB 🥈
3. $AFRM 🥉
4. $SI
5. $UPST
6. $ZM
7. $HUT… https://t.co/EuAwftjkKw",0,0
24,2021-10-09 19:26:51,"RT @Theunksmoney: Weekly WL 10/11 - 10/15

Format staying the same for now. Saving the new one for a little project coming soon.

$AAPL $AD…",4,0
25,2021-10-09 19:24:07,"RT @Theunksmoney: Weekly WL 10/11 - 10/15

Format staying the same for now. Saving the new one for a little project coming soon.

$AAPL $AD…",4,0
26,2021-10-09 19:20:54,"Weekly WL 10/11 - 10/15

Format staying the same for now. Saving the new one for a little project coming soon.… https://t.co/tZpcbdUjep",4,30
27,2021-10-09 19:13:25,$APA $GOOG Newsletter Top 25 week 40 in 2021 https://t.co/Jjbhm12ZZz,0,1
28,2021-10-09 18:57:31,"Apple Inc. (NASDAQ: $AAPL), Facebook, Inc. (NASDAQ: $FB) – Barron’s Latest Picks And Pans Include Apple, Facebook,… https://t.co/fgRI50xIdm",0,0
29,2021-10-09 18:56:33,"RT @quantum_wizardr: Zoo of quantum companies and what qubit type they use.
Taken from the article bellow which does a great job explaining…",1,0
30,2021-10-09 18:56:09,"Zoo of quantum companies and what qubit type they use.
Taken from the article bellow which does a great job explain… https://t.co/hxYwig1dv3",1,13
31,2021-10-09 18:21:15,$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li https://t.co/Uf2UNuPJzk,0,0
32,2021-10-09 18:20:41,$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li https://t.co/OWWd5xpwGO,0,0
33,2021-10-09 18:20:12,$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li https://t.co/MMKW7SJeBi,0,0
34,2021-10-09 18:16:35,"Interesting read on $GOOG shutting down zero day exploits used for counter-terrorism purposes.

I don't envy teams… https://t.co/NgAMR0cqqL",0,4
35,2021-10-09 18:09:13,$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li https://t.co/2Ago5UGGTk,0,0
36,2021-10-09 18:08:58,RT @pandabearchap: $tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li,1,0
37,2021-10-09 18:07:05,$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li https://t.co/Qa6amnatqp,0,0
38,2021-10-09 18:06:00,$tsla #tesla $goog $amzn $aapl $lcid $nio $f $gm $spce $xpev $li https://t.co/Q8B62PtDfc,0,0
