,datetime,post
0,2021-10-07 23:58:38,"See our daily stock market analysis video here: https://t.co/EIczI3aRCe

$BB $TLRY $WISH $CLOV $UVXY $FUBO $WKHS… https://t.co/pTFeXOR50Y"
1,2021-10-07 23:57:53,"RT @eWhispers: Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WF…"
2,2021-10-07 23:55:26,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
3,2021-10-07 23:54:45,"Profit up to 80000 $DOGE Daily
Join https://t.co/cc73ucLK09

$AMC $IOST $LSK $ELON $GT $LTC $UPX $BTC $TSLA $DOGE… https://t.co/tsDIcxQArs"
4,2021-10-07 23:53:56,"Our daily trades recap. Discuss $DUST in depth, $UVXY, $SPY, $SKLZ, and $LABU

https://t.co/UyeSiFC9ZV

$BB $TLRY… https://t.co/cc1hvd5QIX"
5,2021-10-07 23:53:39,"RT @Dividend_Dollar: 🚀 10 TOP Dividend Growth Stocks

💊 $ABBV
🍎 $AAPL
📱 $AVGO
☕️ $SBUX
💳 $V
🛠️ $HD
🧰 $LOW
🏦 $JPM
💻 $MSFT
🛒 $COST"
6,2021-10-07 23:53:02,"'GRID Autosport' Gets PS5 and Xbox Series X Controller Support, a New Arrow Touch Pro Control Option, and More https://t.co/H5OFqnVNNV $AAPL"
7,2021-10-07 23:52:01,"RT @Dividend_Dollar: 🚀 10 TOP Dividend Growth Stocks

💊 $ABBV
🍎 $AAPL
📱 $AVGO
☕️ $SBUX
💳 $V
🛠️ $HD
🧰 $LOW
🏦 $JPM
💻 $MSFT
🛒 $COST"
8,2021-10-07 23:50:33,"RT @Dividend_Dollar: 🚀 10 TOP Dividend Growth Stocks

💊 $ABBV
🍎 $AAPL
📱 $AVGO
☕️ $SBUX
💳 $V
🛠️ $HD
🧰 $LOW
🏦 $JPM
💻 $MSFT
🛒 $COST"
9,2021-10-07 23:49:07,"RT @Laurent78192759: Rend.des 10 dern.années:
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%…"
10,2021-10-07 23:47:55,"RT @eWhispers: Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WF…"
11,2021-10-07 23:47:31,"@Dividend_Dollar I used to have all and above but now I’m only long:

$AAPL
$V
$MSFT

so sell your winners and keep… https://t.co/GdXM00cg3S"
12,2021-10-07 23:46:41,"RT @rachels_44: Friday Lotto call IDEAS💡🎲

✅Break above 77.4: $SNAP 79 calls.
✅Break above 144.2: $AAPL 145 calls.
✅Break above 323: $SNOW…"
13,2021-10-07 23:46:36,"$TSLA $XLE $SPY $IWM $ES $WPX $BA $SPG $MCD $MFA $HTZ $AAPL $CHWY $QQQ $C $ES $AMC $DIS 

If you’re interested in C… https://t.co/1QFwSTQ2Uu"
14,2021-10-07 23:45:32,$aapl &amp; $Amd printing tomorrow
15,2021-10-07 23:45:10,RT @JasonRaznick: How Steve Jobs Helped Inspire The Founding Of Robinhood $AAPL $HOOD https://t.co/EvwRVEejgO cc: @vladtenev @EarnYourLeisu…
16,2021-10-07 23:43:16,How Steve Jobs Helped Inspire The Founding Of Robinhood $AAPL $HOOD https://t.co/EvwRVEejgO cc: @vladtenev @EarnYourLeisure
17,2021-10-07 23:43:02,"RT @Dividend_Dollar: 🚀 10 TOP Dividend Growth Stocks

💊 $ABBV
🍎 $AAPL
📱 $AVGO
☕️ $SBUX
💳 $V
🛠️ $HD
🧰 $LOW
🏦 $JPM
💻 $MSFT
🛒 $COST"
18,2021-10-07 23:41:30,RT @Trendspider_J: $AAPL #AAPL Ready for a repeat? https://t.co/zzzhxq9Sjz
19,2021-10-07 23:41:15,@Gekko1955 I meant to say hope my one $AAPL put prints tomorrow then. Just started options.
20,2021-10-07 23:40:15,"RT @Laurent78192759: Rend.des 10 dern.années:
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%…"
21,2021-10-07 23:39:23,"RT @StockMKTNewz: Most active stocks in today's after-hours trading

AT&amp;T $T
$BAC
Ford $F
Opendoor $OPEN
Sabre $SABR
Wells Fargo $WFC
Apple…"
22,2021-10-07 23:38:45,EPC 100%  gain here on $TSLA  here is how we played and where the #PRESSIT came from. $SPY  #investment #trading… https://t.co/M7wkAcKBF4
23,2021-10-07 23:38:14,"Profit up to 80000 $DOGE Daily
Join https://t.co/cc73ucLK09

$AMC $IOST $LSK $ELON $GT $LTC $UPX $BTC $TSLA $DOGE… https://t.co/IViWBF1sYA"
24,2021-10-07 23:38:13,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
25,2021-10-07 23:37:56,"Earn up to 5 LTC #litecoin
Free Join Link: https://t.co/yPEx1wikQh
$ELON $GT $UPX $BTC $TSLA $DOGE $SHIB $XLM $LTC… https://t.co/xdWHEEYjEf"
26,2021-10-07 23:36:34,Tesla stock could be walloped by the Apple car – analyst https://t.co/fsikmS34f4 $AAPL
27,2021-10-07 23:36:33,Apple TV+ reveals first look teaser of 'The Afterparty' murder-mystery comedy series https://t.co/17tpxJUmBj $AAPL
28,2021-10-07 23:36:24,$AAPL What is next? slide :) https://t.co/4MNdzlfxkN
29,2021-10-07 23:32:28,"RT @Dividend_Dollar: 🚀 10 TOP Dividend Growth Stocks

💊 $ABBV
🍎 $AAPL
📱 $AVGO
☕️ $SBUX
💳 $V
🛠️ $HD
🧰 $LOW
🏦 $JPM
💻 $MSFT
🛒 $COST"
30,2021-10-07 23:30:17,"RT @charliebilello: Returns, Last 10 Years..
Bitcoin $BTC: +1,150,000%
Tesla $TSLA: +14,376%
NVIDIA $NVDA: +6,298%
Netflix $NFLX: +3,485%
D…"
31,2021-10-07 23:27:56,"RT @rachels_44: Friday Lotto call IDEAS💡🎲

✅Break above 77.4: $SNAP 79 calls.
✅Break above 144.2: $AAPL 145 calls.
✅Break above 323: $SNOW…"
32,2021-10-07 23:27:34,RT @Trendspider_J: $AAPL #AAPL Ready for a repeat? https://t.co/zzzhxq9Sjz
33,2021-10-07 23:27:08,"RT @eWhispers: Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WF…"
34,2021-10-07 23:25:40,"RT @Hedgeye: ""Hey Neel! What's up man? Just wondering, need me to pump anything today?""

""Yeah, Kaplan bought a sht ton of $QQQ calls, no i…"
35,2021-10-07 23:23:50,"RT @Barrett26860313: $ENZC If u could go back &amp; buy $aapl $amzn $tsla years ago, would u? ALL DISRUPTIVE Tech that has changed the world. N…"
36,2021-10-07 23:20:34,Apple releases first trailer for 'The Afterparty' comedy mystery https://t.co/yGzZshksxQ $AAPL https://t.co/5xhZTbAhce
37,2021-10-07 23:20:34,"$ENZC If u could go back &amp; buy $aapl $amzn $tsla years ago, would u? ALL DISRUPTIVE Tech that has changed the world… https://t.co/mKrcr4y6G7"
38,2021-10-07 23:20:32,"Apple TV+ releases trailer for Jack McBrayer's 'Hello, Jack! The Kindness Show' which debuts on November 5th https://t.co/H5l4GCLFiE $AAPL"
39,2021-10-07 23:20:30,"Nasdaq wagers on sports betting trend, sees retail brokers joining $AAPL https://t.co/A39mEzx8Kt"
40,2021-10-07 23:19:42,@FiskerInc contracts with Foxconn and Magna to produce their cars while they focus on design and user experience. S… https://t.co/wemFN9h0Nj
41,2021-10-07 23:18:58,Swung $SHOP &amp; $AAPL overnight. @EliteOptions2 has great levels. https://t.co/AFdnogrjMx
42,2021-10-07 23:18:49,"RT @eWhispers: Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WF…"
43,2021-10-07 23:18:16,"RT @SocietyofBulls: If generating revenue working from a laptop was possible ...

Would you do it?

Like if you would.

https://t.co/fc7JsB…"
44,2021-10-07 23:18:11,"RT @eWhispers: Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WF…"
45,2021-10-07 23:17:29,"RT @Dividend_Dollar: Warren Buffett's TOP 5 positions

$AAPL Apple
$BAC Bank of America
$AXP American Express
$KO Coca Cola
$KHC Kraft Hein…"
46,2021-10-07 23:17:21,"If generating revenue working from a laptop was possible ...

Would you do it?

Like if you would.… https://t.co/ov9hxLDXDJ"
47,2021-10-07 23:16:32,RT @Trendspider_J: $AAPL #AAPL Ready for a repeat? https://t.co/zzzhxq9Sjz
48,2021-10-07 23:12:54,@Forbes @ForbesTech Will probably sync with Apple car. $AAPL
49,2021-10-07 23:11:47,"Profit up to 80000 $DOGE Daily
Join https://t.co/ysyzXWQT7Z

$ELON $GT $UPX $BTC $TSLA $DOGE $SHIB $XLM $LTC $AAPL… https://t.co/wm4FysNkNu"
50,2021-10-07 23:10:40,"Profit up to 80000 $DOGE Daily
Join https://t.co/ysyzXWQT7Z

$AMC $IOST $LSK $ELON $GT $LTC $UPX $BTC $TSLA $DOGE… https://t.co/gHgS5JwRb7"
51,2021-10-07 23:10:30,"If you believe there are a lot of things more important than money.

Get money &amp; focus on them.

Like/RT if you agr… https://t.co/gA1mI9UXUr"
52,2021-10-07 23:07:52,"RT @AAPLinsights: 🔥🔥 Automated Hourly $AAPL 🍎 Sentiment Report (📈 / 📉) 🔥🔥
1. Product Series Reviews:
#iPhones 71/66
#Mac #Macbook 51/61
#iP…"
53,2021-10-07 23:07:21,"RT @eWhispers: Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WF…"
54,2021-10-07 23:06:31,"RT @eWhispers: Confirmed #earnings for October 

https://t.co/lObOE0dgsr 

$AAPL $JPM $TSM $FB $NFLX $SNAP $CLF $BAC $DAL $SQ $PFE $BLK $WF…"
55,2021-10-07 23:05:15,"Earn up to 5 LTC #litecoin
Free Join Link: https://t.co/ZXjNi3JVYb

$AMC $IOST $LSK $ELON $GT $LTC $UPX $BTC $TSLA… https://t.co/4ZnGXNtUF3"
56,2021-10-07 23:05:03,"🔴🔴  You are invited to test drive TradeIdeas PREMIUM features for 2 weeks!

NEXT Test Drive is October 11–22 
‍🙋‍♀️… https://t.co/9EHhXDZKdJ"
57,2021-10-07 23:04:52,RT @JeffreyAWillia4: Analyst: A 2024 Apple Car Launch Could Be Biggest Downside Catalyst For Tesla Stock $AAPL $TSLA $VWAGY https://t.co/kn…
58,2021-10-07 23:04:04,"Earn up to 5 LTC #litecoin
Free Join Link: https://t.co/ZXjNi3JVYb
$ELON $GT $UPX $BTC $TSLA $DOGE $SHIB $XLM $LTC… https://t.co/ctkIpEFskh"
