,datetime,post
0,2021-10-01 23:59:14,"RT @TheStreamable: According to a source familiar with the negotiation, NBCU's extension with YouTube TV only lasts until tonight.

https:/…"
1,2021-10-01 23:54:31,$goog $sofi https://t.co/OgzSD5yaCh
2,2021-10-01 23:52:32,"RT @jonatahnndm: $NNDM Working with Neuralink and Nvidia. Yesterday CEO say that they working with $GOOG. 
$NVDA $TSLA https://t.co/Pfo9Dqb…"
3,2021-10-01 23:51:49,"RT @BrianFeroldi: 1996: $AMZN has no chance vs. Borders
2006: Borders has no chance vs. $AMZN

1997: $NFLX has no chance vs. Blockbuster
20…"
4,2021-10-01 23:51:44,"RT @JunkoSu22993224: Chainlink Refused to Sell Itself to Google.
Google approached #Chainlink to buy it for undisclosed amount. Rumors is $…"
5,2021-10-01 23:50:07,"Stock: $GOOG - Alphabet Inc.
*** NEWS ***
Apple Could Be Targeting Facebook, Google Advertising Revenue Stream Via… https://t.co/FNpWhL7yW4"
6,2021-10-01 23:41:54,"Most active Trading Group 💯 

Alerts,Analysis
Stocks ☑️
Options ✅
Day trading ✅
Swing Trading ☑️

🔥
$SPY $TSLA… https://t.co/kQQEXUl4kB"
7,2021-10-01 23:41:09,"Look like legit traders include this chat and making profits. FREE Check out now..

$LOMA $DZSI $LAC $VOXX $SWBI… https://t.co/BSlNCrsWQy"
8,2021-10-01 23:40:18,"RT @DeItaone: Google Abandons Plans to Offer Bank Accounts, Sources Say
$GOOG"
9,2021-10-01 23:39:18,"Insider John Kent Walker reports selling 2,497 shares of $GOOG for a total cost of $6,741,916.98 https://t.co/0yg0Xgg5my #FNTL"
10,2021-10-01 23:39:09,"#FWSells $GOOG WALKER JOHN KENT, SVP, Global Affairs and CLO of Alphabet Inc. sold 2,497 shares on 2021-09-30. https://t.co/bJrfMOHNwo"
11,2021-10-01 23:38:39,"S&amp;P 500 by market cap share

$MSFT $GOOGL $GOOG $AMZN $AAPL $FB= 24.9%

496 other companies = 75.1%

#perspective"
12,2021-10-01 23:24:08,"@InvestmentTalkk If I must pick one to own forever, that is $goog. If I must pick one to chase after tomorrow, that is $iac"
13,2021-10-01 23:17:30,$goog &amp; $googl Totally ruined renting movies on #roku for me a few months ago.  #sell.
14,2021-10-01 23:09:27,"RT @JunkoSu22993224: Chainlink Refused to Sell Itself to Google.
Google approached #Chainlink to buy it for undisclosed amount. Rumors is $…"
15,2021-10-01 23:00:47,"RT @JunkoSu22993224: Chainlink Refused to Sell Itself to Google.
Google approached #Chainlink to buy it for undisclosed amount. Rumors is $…"
