,datetime,post,retweets,favorites
0,2021-11-06 23:58:59,"Current holdings:

$CPNG
$AMD
$TWLO
$DOCN
$COIN
$FB
$ADBE
$CRM
$GOOG
$VEEV
$NOW
$INTU
$ESTC
$CRWD
$PYPL
$LSPD",0,2
1,2021-11-06 23:52:40,"RT @LiviamCapital: Brands/products I use daily without fail:

$AAPL iPhone/Mac
$AXP Gold card
$GOOG Search/Youtube

At least once weekly:…",9,0
2,2021-11-06 23:51:17,RT @extremesb: For people new to the story good to watch Jay Hutton the CEO of $VSBY $VSBGF in action…. 🙏💚 #stockstowatch #investment ⁦@Wal…,6,0
3,2021-11-06 23:46:23,"Tracking the indexes ONLY matters if you trade them or the big names.  

If you don't index is NOise.

$QQQ
   -… https://t.co/9fgLNd3Q7X",4,19
4,2021-11-06 23:45:07,"RT @GavBlaxberg: Which portfolio are you holding for 3 years?

A.
$TSLA Tesla
$PLTR Palantir
$AMC
$BTC Bitcoin

B.
$SE Sea Ltd.
$NVDA Nvidi…",171,0
5,2021-11-06 23:42:59,RT @bazookanu: @patrick_oshag $GOOG buys $OUT,2,0
6,2021-11-06 23:39:04,RT @bazookanu: @patrick_oshag $GOOG buys $OUT,2,0
7,2021-11-06 23:34:30,"$GOOG Market is a future looking mechanism and it is anticipating lower inflation, reopening momentum and pent-up d… https://t.co/PL6Tr893xC",0,0
8,2021-11-06 23:32:11,"RT @GavBlaxberg: Which portfolio are you holding for 3 years?

A.
$TSLA Tesla
$PLTR Palantir
$AMC
$BTC Bitcoin

B.
$SE Sea Ltd.
$NVDA Nvidi…",171,0
9,2021-11-06 23:31:55,"RT @sonycomeback: $HMC #Honda could be a #Takeover target

$AAPL $TM $GOOG $AMZN $TSLA $SNE $SONY
$MS $NMR $EWJ $JEF #NIKKEI

Honda better…",2,0
10,2021-11-06 23:28:46,"RT @GavBlaxberg: Which portfolio are you holding for 3 years?

A.
$TSLA Tesla
$PLTR Palantir
$AMC
$BTC Bitcoin

B.
$SE Sea Ltd.
$NVDA Nvidi…",171,0
11,2021-11-06 23:28:29,"RT @GavBlaxberg: Which portfolio are you holding for 3 years?

A.
$TSLA Tesla
$PLTR Palantir
$AMC
$BTC Bitcoin

B.
$SE Sea Ltd.
$NVDA Nvidi…",171,0
12,2021-11-06 23:25:52,"RT @GavBlaxberg: Which portfolio are you holding for 3 years?

A.
$TSLA Tesla
$PLTR Palantir
$AMC
$BTC Bitcoin

B.
$SE Sea Ltd.
$NVDA Nvidi…",171,0
13,2021-11-06 23:20:13,"RT @GavBlaxberg: Which portfolio are you holding for 3 years?

A.
$TSLA Tesla
$PLTR Palantir
$AMC
$BTC Bitcoin

B.
$SE Sea Ltd.
$NVDA Nvidi…",171,0
14,2021-11-06 23:15:45,@patrick_oshag $GOOG buys $OUT,2,1
15,2021-11-06 23:15:07,$GOOG | When Alphabet Inc Class C ($GOOG) Moves Investors should Listen (GOOG) https://t.co/S20iccXwOn https://t.co/QijxYzUUFR,0,0
16,2021-11-06 23:04:59,"RT @GavBlaxberg: Which portfolio are you holding for 3 years?

A.
$TSLA Tesla
$PLTR Palantir
$AMC
$BTC Bitcoin

B.
$SE Sea Ltd.
$NVDA Nvidi…",171,0
17,2021-11-06 23:03:44,"Which portfolio are you holding for 3 years?

A.
$TSLA Tesla
$PLTR Palantir
$AMC
$BTC Bitcoin

B.
$SE Sea Ltd.… https://t.co/GX4UQVeK5h",171,1292
18,2021-11-06 23:00:04,"【GAFAM】
📱 $GOOG 2984.82 (+0.38%)
🛒 $AMZN 3518.99 (+1.21%)
📘 $FB 341.13 (+1.57%)
🍎 $AAPL 151.28 (+0.36%)
🖥 $MSFT 336… https://t.co/zxxQaM6eSa",0,1
19,2021-11-06 22:48:43,@LoganMohtashami @patrick_oshag Also $goog $fb and $nflx could be suitors for $viac . Maybe $tmus as well.,0,4
20,2021-11-06 22:43:40,"is This true Even with Apple privacy settings on ?

$GOOG $GOOGL @AppleSupport $AAPL https://t.co/bDXTQtcsvj",0,0
21,2021-11-06 22:24:43,@Biotech2k1 $GOOG just announced they're making a startup focused on leveraging #deepmind to design pharmaceuticals… https://t.co/CpyxLacucq,0,0
22,2021-11-06 22:11:13,"RT @LiviamCapital: Brands/products I use daily without fail:

$AAPL iPhone/Mac
$AXP Gold card
$GOOG Search/Youtube

At least once weekly:…",9,0
23,2021-11-06 22:06:53,"@mitchellfoxtec @fools_gd $GOOG R&amp;D spend is insane , same for $MSFT and $AAPL.",0,1
24,2021-11-06 22:00:37,"So apparently Chamath says over the next 5 years:

Go long: $GOOG + $MSFT 

Go short: $AAPL + $AMZN + $FB + $NFLX… https://t.co/fIdgKNiXef",0,27
25,2021-11-06 21:55:36,"RT @Tripple65904021: @LiviamCapital Brands/products I use daily without fail:

$AAPL iPhone
$MA credit card
$GOOG search/youtube
$AZA stock…",1,0
26,2021-11-06 21:48:38,"RT @LiviamCapital: Brands/products I use daily without fail:

$AAPL iPhone/Mac
$AXP Gold card
$GOOG Search/Youtube

At least once weekly:…",9,0
27,2021-11-06 21:47:01,"RT @ThinkIrreverent: @LiviamCapital $goog yt
$amzn prime vid
$Msft everything
$aapl
$f
$ntdoy
$crsr 
$intc
$spot
$cost
$sqsp
$twtr 

Almost…",1,0
28,2021-11-06 21:47:01,"@LiviamCapital Great topic! Fun to also split personal vs work

Daily Personal
$FB
$AAPL
$GOOG
$NFLX
$AXP
$LULU

Da… https://t.co/ueyNxiJObS",0,2
29,2021-11-06 21:37:53,@LiviamCapital This is a fun exercice. I think it would be even more interesting to see from 5 years ago VS now if… https://t.co/CjDu90aO8m,1,8
30,2021-11-06 21:35:09,"@LiviamCapital Daily:
$GOOG
$SPOT
$TWTR

Weekly:
$MSFT",0,1
31,2021-11-06 21:33:34,"@LiviamCapital Brands/products I use daily without fail:

$AAPL iPhone
$MA credit card
$GOOG search/youtube
$AZA st… https://t.co/c2vhi2ljV6",1,3
32,2021-11-06 21:24:13,"@LiviamCapital $goog yt
$amzn prime vid
$Msft everything
$aapl
$f
$ntdoy
$crsr 
$intc
$spot
$cost
$sqsp
$twtr 

Alm… https://t.co/ll0AmeUibO",1,1
33,2021-11-06 21:22:02,"RT @Krypto_Venom: I can give you a MILLION reasons why to buy XYO
$xyo best project around for the metaverse 🚀 sell shiba

$SPY $NDX $DIA $…",5,0
34,2021-11-06 21:19:38,RT @extremesb: For people new to the story good to watch Jay Hutton the CEO of $VSBY $VSBGF in action…. 🙏💚 #stockstowatch #investment ⁦@Wal…,6,0
35,2021-11-06 21:18:49,"Brands/products I use daily without fail:

$AAPL iPhone/Mac
$AXP Gold card
$GOOG Search/Youtube

At least once week… https://t.co/lpi4LZORhm",9,143
36,2021-11-06 21:04:12,"RT @FunOfInvesting: @patrick_oshag Can I suggest multiple? 

$AAPL buying $PTON - brand + product synergies

$FB buying $U - Metaverse play…",3,0
37,2021-11-06 21:03:00,"@FunOfInvesting If they are allowed $goog is a good fit for most horizontal platforms honestly 

Although they woul… https://t.co/9qOfBWYd4z",0,0
38,2021-11-06 21:02:50,"RT @FunOfInvesting: @bensun0 I could also see $GOOG making a play for $ROKU 

is that crazy?",1,0
39,2021-11-06 20:57:44,For people new to the story good to watch Jay Hutton the CEO of $VSBY $VSBGF in action…. 🙏💚 #stockstowatch… https://t.co/5LAlbsnOzS,6,31
40,2021-11-06 20:41:10,"@bensun0 I could also see $GOOG making a play for $ROKU 

is that crazy?",1,0
41,2021-11-06 20:40:00,"@HeroDividend I would put it into a real estate rental property preferably a 4-unit

If it had to be an equity inve… https://t.co/NOhlNoQ7PN",0,4
42,2021-11-06 20:39:41,"RT @FunOfInvesting: @patrick_oshag Can I suggest multiple? 

$AAPL buying $PTON - brand + product synergies

$FB buying $U - Metaverse play…",3,0
43,2021-11-06 20:39:36,"@patrick_oshag Can I suggest multiple? 

$AAPL buying $PTON - brand + product synergies

$FB buying $U - Metaverse… https://t.co/T9iZQ0IIH8",3,97
44,2021-11-06 20:31:27,RT @extremesb: Can’t help but get excited to hear some news from #AustinGis soon enough!! $INTC #Intel $VSBY $VSBGF $TECHM #IoT #SaaS #IaaS…,9,0
45,2021-11-06 20:31:26,"RT @vincent13031925: Past 10 years return:

$TSLA: +18,845%
$NVDA: +8,755%
$NFLX: +4,970%
$ADBE: +2,135%
$AMZN: +1,493%
$MSFT: +1,476%
$AAP…",148,0
46,2021-11-06 20:24:34,@patrick_oshag $GOOG -&gt; $MTTR,0,0
47,2021-11-06 20:24:00,"Lots of talk that Facebook, Google, etc. are ""too complex"" to break up.

Standard Oil was bigger &amp; more complex...… https://t.co/0OYt6KUmZY",0,0
48,2021-11-06 20:21:09,"2 of 3

$IIPR 153
$LEN 282
$MGP 603
$ELY 1,075
$HD 99
$SQ 117
$AMZN (1)
$BX 288
$AAPL 220
$MGM 783
$FLGT 288
$PLD 2… https://t.co/GO37OMcppk",0,4
49,2021-11-06 20:04:48,@almighty_red Makes me feel good thinking they will likely pump $goog and maybe $aapl to keep the indices up if Tesla takes a crap,0,1
50,2021-11-06 20:04:21,$GOOG It takes time for any Xceptional business to catch the attention of Market. Be early to buy it so you can rid… https://t.co/AkuwsfYCWl,0,0
51,2021-11-06 19:56:26,"Some of you need to hear this.

If you are struggling or new to trading, stop trading high ATR stocks.  $AMZN ,… https://t.co/luJgYAmQMX",0,7
52,2021-11-06 19:54:20,"Update price target on $PTON (Pelaton) after their latest earnings.  

Sign up for free at https://t.co/9SaWgiYcip… https://t.co/LfntSc3p0L",0,0
53,2021-11-06 19:51:47,"I wrote about this before; same risk is valid for $AMZN, $MSFT, $GOOG etc; it makes a lot of sense actually from th… https://t.co/mX0fwWiBDd",0,0
54,2021-11-06 19:46:25,@EliteOptions2 $MSFT $GOOG,0,0
