,datetime,post,retweets,favorites
0,2021-10-10 23:56:49,"Option's Watchlist Week of 10/11/2021 $NFLX $MSFT $FB $ROKU $SPY

https://t.co/ANPhYxB7sK",0,4
1,2021-10-10 23:54:39,"[ Last 2 Hours ]

Top Trending Stocks on #fintwit: 
1. $AFRM 🥇
2. $TSLA 🥈
3. $AMZN 🥉
4. $ROKU
5. $AAPL
6. $NFLX
7.… https://t.co/rc4SUVxEOd",0,0
2,2021-10-10 23:54:23,"[ Last 24 Hours ]

Top Trending Stocks on #fintwit: 
1. $AFRM 🥇
2. $BTC 🥈
3. $TSLA 🥉
4. $UPST
5. $NFLX
6. $AAPL
7.… https://t.co/SSKGQmAUwH",0,0
3,2021-10-10 23:51:52,"Returns over the last 10 years.

Bitcoin $BTC: +994,608%
Tesla $TSLA: +15,200%
Nivida $NVDA: +6,053%
Netflix $NFLX:… https://t.co/O0ywCHkFMq",0,1
4,2021-10-10 23:51:34,@buccocapital Agree 100%. Used majority of streaming services and none comes close to $NFLX on content breadth &amp; us… https://t.co/Npsz749k03,0,2
5,2021-10-10 23:50:38,@buccocapital $NFLX should license their UI,0,0
6,2021-10-10 23:47:01,"Apple TV and Prime streaming suck so much bootyhole. 

I mean, the content sucks AND the user experience is so bad… https://t.co/O8snztuYBu",0,73
7,2021-10-10 23:39:14,"RT @FreedomStocks: ⭐️ Freedom Stocks Watchlist For Tomorrow Pt.2 ⭐️ 

$TSLA
$ENPH
$NFLX
$SNAP
$OPEN",1,0
8,2021-10-10 23:39:09,"⭐️ Freedom Stocks Watchlist For Tomorrow Pt.2 ⭐️ 

$TSLA
$ENPH
$NFLX
$SNAP
$OPEN",1,1
9,2021-10-10 23:34:05,"RT @TMLTrader: Watch List, 10/10: $MRVL $AMBA $TEAM $DDOG $PANW $DOCN $TSLA $NFLX $UPST

Charts courtesy of @MarketSmith",19,0
10,2021-10-10 23:33:42,"“We always knew [Squid Game] would be a big title in Korea and south-east Asia,” [@netflix's Bela] Bajaria said. Ho… https://t.co/ynynCl6rd3",2,14
11,2021-10-10 23:23:37,RT @jaywhitcraft: Focus for next week – $ACMR $AFRM $AMBA $APP $APPS $ASAN $AYI $BILL $BLDR $CF $CZR $EOG $ETHE $FTNT $GTBC $HUT $IIPR $LC…,5,0
12,2021-10-10 23:22:27,"[ Last 2 Hours ]

Top Trending Stocks on #fintwit: 
1. $AFRM 🥇
2. $AMZN 🥈
3. $NFLX 🥉
4. $UPST
5. $AAPL
6. $FB
7.… https://t.co/d4zOzcGTyy",0,1
13,2021-10-10 23:20:08,$NFLX https://t.co/XOAMbhVjnC,0,0
14,2021-10-10 23:20:03,"RT @EliteOptions2: $FB - Above 338 - Trade Idea 💡 -  Oct 15 342.5C
$FB - Under 326 - Trade Idea 💡 -  Oct 15 320P

Closed at 330.05

Calls c…",10,0
15,2021-10-10 23:18:23,$NFLX Markets are a great mechanism of transferring wealth from impatient to the patient. Ignore naysayers and buy… https://t.co/2afscWhNax,0,0
16,2021-10-10 23:17:45,"RT @ThePupOfWallSt: $NFLX #NFLX Weekly Chart #ElliotWaves

I laid out some potential targets for wave 5 on the chart. This move has exceede…",6,0
17,2021-10-10 23:03:23,"RT @EliteOptions2: Two-Day Risk-Free Trial

To Sign Up:
- Visit https://t.co/ydZefEptql
- Login, Subscribe and Pay  
- If you are not satis…",6,0
18,2021-10-10 23:03:00,"California Getaway! 2 Hours from LA
 
Lake view house for California fun. Sequoias hiking, mountain biking, river r… https://t.co/p7ROBJZ31U",0,1
